Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-03,22.433,22.806,22.099,22.329,1798522
2016-02-04,22.758,23.179,22.568,23.179,2776869
2016-02-05,23.179,23.455,22.873,23.084,1369469
2016-02-08,23.084,23.159,22.462,22.739,1518424
2016-02-09,22.51,22.701,22.119,22.644,1956542
2016-02-10,22.653,23.102,22.539,22.663,2128464
2016-02-11,22.729,23.169,22.348,22.921,2023651
2016-02-12,22.788,23.761,22.758,23.542,3497613
2016-02-15,23.81,24.067,23.571,23.953,1670059
2016-02-16,24.058,24.058,23.437,23.675,1753468
2016-02-17,23.667,24.526,23.59,24.526,5664357
2016-02-18,24.373,24.994,24.134,24.44,3217235
2016-02-19,24.191,24.258,23.752,23.991,2124270
2016-02-22,24.173,24.65,24.173,24.173,1704023
2016-02-23,23.895,24.354,23.771,23.857,1991102
2016-02-24,23.886,24.01,23.141,23.227,3768098
2016-02-25,23.408,23.704,23.169,23.704,1798221
2016-02-26,23.886,23.981,23.599,23.752,1843464
2016-02-29,23.571,23.685,23.064,23.341,3432421
2016-03-01,23.494,23.743,23.151,23.743,1964055
2016-03-02,23.838,24.058,23.437,24.01,1635570
2016-03-03,23.981,24.45,23.8,24.45,2596088
2016-03-04,24.459,24.793,24.22,24.64,1392818
2016-03-07,24.64,24.841,24.23,24.841,1680166
2016-03-08,24.593,24.927,24.487,24.526,1365789
2016-03-09,24.689,24.917,24.364,24.917,1572428
2016-03-10,24.917,25.462,24.736,25.223,2321680
2016-03-11,25.338,26.418,25.3,26.112,2855239
2016-03-14,26.179,26.551,25.768,26.016,2229352
2016-03-15,25.854,26.045,25.644,25.949,1203641
2016-03-16,26.035,26.523,25.5,25.768,2319267
2016-03-17,25.873,26.122,25.329,25.988,2709715
2016-03-18,25.796,26.217,25.615,26.188,4347077
2016-03-21,25.854,26.188,25.519,25.911,1729730
2016-03-22,25.586,25.902,25.396,25.902,2477529
2016-03-23,25.816,26.026,24.975,25.156,2078052
2016-03-24,25.166,25.166,24.612,25.08,1859486
2016-03-29,25.109,25.491,24.86,25.156,1470059
2016-03-30,25.462,26.159,25.243,26.159,1877339
2016-03-31,26.169,26.561,25.759,26.561,3165161
2016-04-01,26.37,26.408,25.873,26.198,1782682
2016-04-04,26.007,26.322,25.998,26.227,1177076
2016-04-05,25.94,26.141,25.272,25.272,1612146
2016-04-06,25.5,25.692,24.975,25.185,1272817
2016-04-07,25.386,25.644,24.803,25.099,2354147
