Date;Close
2019-10-21;1555
2019-10-23;1565
2019-10-24;1580
2019-10-25;1588
2019-10-28;1572
2019-10-29;1561
2019-10-30;1547
2019-10-31;1528
2019-11-01;1709
2019-11-05;1676
2019-11-06;1633
2019-11-07;1665
2019-11-08;1645
2019-11-11;1646
2019-11-12;1669
2019-11-13;1627
2019-11-14;1609
2019-11-15;1596
2019-11-18;1592
2019-11-19;1587
2019-11-20;1587
2019-11-21;1581
2019-11-22;1575
2019-11-25;1577
2019-11-26;1570
2019-11-27;1575
2019-11-28;1593
2019-11-29;1579
2019-12-02;1585
2019-12-03;1575
2019-12-04;1583
2019-12-05;1587
2019-12-06;1585
2019-12-09;1595
2019-12-10;1595
2019-12-11;1605
2019-12-12;1623
2019-12-13;1629
2019-12-16;1616
2019-12-17;1604
2019-12-18;1619
2019-12-19;1619
2019-12-20;1607
2019-12-23;1575
2019-12-24;1567
2019-12-25;1578
2019-12-26;1598
2019-12-27;1598
2019-12-30;1583
2020-01-06;1578
2020-01-07;1598
2020-01-08;1575
2020-01-09;1579
2020-01-10;1583
2020-01-14;1597
2020-01-15;1603
2020-01-16;1624
2020-01-17;1603
2020-01-20;1596
2020-01-21;1587
2020-01-22;1591
2020-01-23;1565
2020-01-24;1565
2020-01-27;1544
2020-01-28;1521
2020-01-29;1527
2020-01-30;1505
2020-01-31;1499
2020-02-03;1479
2020-02-04;1478
2020-02-05;1530
2020-02-06;1568
2020-02-07;1583
2020-02-10;1590
2020-02-12;1585
2020-02-13;1581
2020-02-14;1591
2020-02-17;1601
2020-02-18;1603
2020-02-19;1633
2020-02-20;1660
2020-02-21;1676
2020-02-25;1613
2020-02-26;1577
2020-02-27;1530
2020-02-28;1423
2020-03-02;1456
2020-03-03;1437
2020-03-04;1455
2020-03-05;1453
2020-03-06;1409
2020-03-09;1314
2020-03-10;1350
2020-03-11;1330
2020-03-12;1279
2020-03-13;1218
2020-03-16;1175
2020-03-17;1207
2020-03-18;1166
2020-03-19;1255
2020-03-23;1238
2020-03-24;1245
2020-03-25;1304
2020-03-26;1298
2020-03-27;1367
2020-03-30;1333
2020-03-31;1315
2020-04-01;1304
2020-04-02;1272
2020-04-03;1213
2020-04-06;1261
2020-04-07;1295
2020-04-08;1276
2020-04-09;1289
2020-04-10;1322
2020-04-13;1300
2020-04-14;1330
2020-04-15;1335
2020-04-16;1319
2020-04-17;1318
2020-04-20;1302
2020-04-21;1301
2020-04-22;1275
2020-04-23;1275
2020-04-24;1280
2020-04-27;1279
2020-04-28;1299
2020-04-30;1311
2020-05-01;1295
2020-05-07;1304
2020-05-08;1322
2020-05-11;1381
2020-05-12;1410
2020-05-13;1398
2020-05-14;1391
2020-05-15;1383
2020-05-18;1376
2020-05-19;1384
2020-05-20;1372
2020-05-21;1398
2020-05-22;1403
2020-05-25;1390
2020-05-26;1374
2020-05-27;1388
2020-05-28;1435
2020-05-29;1404
2020-06-01;1395
2020-06-02;1463
2020-06-03;1426
2020-06-04;1391
2020-06-05;1397
2020-06-08;1385
2020-06-09;1414
2020-06-10;1389
2020-06-11;1380
2020-06-12;1344
2020-06-15;1330
2020-06-16;1354
2020-06-17;1350
2020-06-18;1326
2020-06-19;1290
2020-06-22;1294
2020-06-23;1315
2020-06-24;1311
2020-06-25;1296
2020-06-26;1309
2020-06-29;1287
2020-06-30;1290
2020-07-01;1290
2020-07-02;1283
2020-07-03;1290
2020-07-06;1314
2020-07-07;1315
2020-07-08;1311
2020-07-09;1307
2020-07-10;1281
2020-07-13;1305
2020-07-14;1287
2020-07-15;1289
2020-07-16;1297
2020-07-17;1294
2020-07-20;1290
2020-07-21;1295
2020-07-22;1300
2020-07-27;1302
2020-07-28;1300
2020-07-29;1259
2020-07-30;1230
2020-07-31;1189
2020-08-03;1210
2020-08-04;1253
2020-08-05;1267
2020-08-06;1230
2020-08-07;1221
2020-08-11;1245
2020-08-12;1271
2020-08-13;1277
2020-08-14;1252
2020-08-17;1267
2020-08-18;1265
2020-08-19;1262
2020-08-20;1250
2020-08-21;1242
2020-08-24;1237
2020-08-25;1253
2020-08-26;1242
2020-08-27;1225
2020-08-28;1217
2020-08-31;1229
2020-09-01;1222
2020-09-02;1216
2020-09-03;1224
2020-09-04;1200
2020-09-07;1196
2020-09-08;1206
2020-09-09;1224
2020-09-10;1259
2020-09-11;1265
2020-09-14;1312
2020-09-15;1303
2020-09-16;1304
2020-09-17;1313
2020-09-18;1353
2020-09-23;1328
2020-09-24;1323
2020-09-25;1306
2020-09-28;1324
2020-09-29;1304
2020-09-30;1278
2020-10-02;1244
2020-10-05;1252
2020-10-06;1269
2020-10-07;1279
2020-10-08;1274
2020-10-09;1290
2020-10-12;1303
2020-10-13;1295
2020-10-14;1311
2020-10-15;1306
2020-10-16;1305
2020-10-19;1319
2020-10-20;1307
2020-10-21;1314
2020-10-22;1313
2020-10-23;1322
2020-10-26;1330
2020-10-27;1333
2020-10-28;1331
2020-10-29;1341
2020-10-30;1306
2020-11-02;1321
2020-11-04;1322
2020-11-05;1366
2020-11-06;1430
2020-11-09;1481
2020-11-10;1484
2020-11-11;1514
2020-11-12;1490
2020-11-13;1496
2020-11-16;1541
2020-11-17;1547
2020-11-18;1545
2020-11-19;1525
2020-11-20;1500
2020-11-24;1522
2020-11-25;1502
2020-11-26;1497
2020-11-27;1502
2020-11-30;1467
2020-12-01;1439
2020-12-02;1449
2020-12-03;1448
2020-12-04;1444
2020-12-07;1423
2020-12-08;1427
2020-12-09;1453
2020-12-10;1486
2020-12-11;1516
2020-12-14;1551
2020-12-15;1558
2020-12-16;1586
2020-12-17;1623
2020-12-18;1622
2020-12-21;1623
2020-12-22;1615
2020-12-23;1644
2020-12-24;1645
2020-12-25;1651
2020-12-28;1648
2020-12-29;1648
2020-12-30;1627
2021-01-04;1615
2021-01-05;1615
2021-01-06;1567
2021-01-07;1546
2021-01-08;1603
2021-01-12;1594
2021-01-13;1631
2021-01-14;1701
2021-01-15;1663
2021-01-18;1661
2021-01-19;1670
2021-01-20;1669
2021-01-21;1697
2021-01-22;1711
2021-01-25;1706
2021-01-26;1683
2021-01-27;1729
2021-01-28;1698
2021-01-29;1667
2021-02-01;1689
2021-02-02;1674
2021-02-03;1657
2021-02-04;1687
2021-02-05;1723
2021-02-08;1716
2021-02-09;1704
2021-02-10;1712
2021-02-12;1818
2021-02-15;1862
2021-02-16;1829
2021-02-17;1862
2021-02-18;1830
2021-02-19;1830
2021-02-22;1832
2021-02-24;1825
2021-02-25;1826
2021-02-26;1789
2021-03-01;1791
2021-03-02;1784
2021-03-03;1776
2021-03-04;1744
2021-03-05;1760
2021-03-08;1741
2021-03-09;1750
2021-03-10;1723
2021-03-11;1714
2021-03-12;1715
2021-03-15;1756
2021-03-16;1754
2021-03-17;1776
2021-03-18;1761
2021-03-19;1735
2021-03-22;1760
2021-03-23;1758
2021-03-24;1757
2021-03-25;1752
2021-03-26;1822
2021-03-29;1806
2021-03-30;1774
2021-03-31;1727
2021-04-01;1693
2021-04-02;1674
2021-04-05;1675
2021-04-06;1625
2021-04-07;1641
2021-04-08;1691
2021-04-09;1724
2021-04-12;1748
2021-04-13;1731
2021-04-14;1744
2021-04-15;1686
2021-04-16;1680
2021-04-19;1652
2021-04-20;1609
2021-04-21;1554
2021-04-22;1557
2021-04-23;1581
2021-04-26;1600
2021-04-27;1622
2021-04-28;1585
2021-04-30;1569
2021-05-06;1586
2021-05-07;1579
2021-05-10;1604
2021-05-11;1579
2021-05-12;1567
2021-05-13;1422
2021-05-14;1413
2021-05-17;1387
2021-05-18;1387
2021-05-19;1408
2021-05-20;1418
2021-05-21;1394
2021-05-24;1417
2021-05-25;1402
2021-05-26;1383
2021-05-27;1436
2021-05-28;1412
2021-05-31;1393
2021-06-01;1403
2021-06-02;1373
2021-06-03;1403
2021-06-04;1398
2021-06-07;1425
2021-06-08;1476
2021-06-09;1477
2021-06-10;1446
2021-06-11;1475
2021-06-14;1472
2021-06-15;1509
2021-06-16;1498
2021-06-17;1503
2021-06-18;1470
2021-06-21;1428
2021-06-22;1467
2021-06-23;1446
2021-06-24;1454
2021-06-25;1475
2021-06-28;1465
2021-06-29;1459
2021-06-30;1458
2021-07-01;1439
2021-07-02;1464
2021-07-05;1457
2021-07-06;1475
2021-07-07;1461
2021-07-08;1466
2021-07-09;1452
2021-07-12;1494
2021-07-13;1515
2021-07-14;1498
2021-07-15;1502
2021-07-16;1480
2021-07-19;1424
2021-07-20;1414
2021-07-21;1435
2021-07-26;1459
2021-07-27;1439
2021-07-28;1404
2021-07-29;1417
2021-07-30;1379
2021-08-02;1438
2021-08-03;1422
2021-08-04;1421
2021-08-05;1433
2021-08-06;1500
2021-08-10;1452
2021-08-11;1463
2021-08-12;1446
2021-08-13;1428
2021-08-16;1386
2021-08-17;1362
2021-08-18;1354
2021-08-19;1326
2021-08-20;1326
2021-08-23;1398
2021-08-24;1423
2021-08-25;1456
2021-08-26;1493
2021-08-27;1500
2021-08-30;1471
2021-08-31;1486
2021-09-01;1507
2021-09-02;1523
2021-09-03;1547
2021-09-06;1558
2021-09-07;1565
2021-09-08;1605
2021-09-09;1576
2021-09-10;1608
2021-09-13;1619
2021-09-14;1622
2021-09-15;1592
2021-09-16;1586
2021-09-17;1600
2021-09-21;1595
2021-09-22;1584
2021-09-24;1619
2021-09-27;1629
2021-09-28;1606
2021-09-29;1568
2021-09-30;1593
2021-10-01;1554
2021-10-04;1541
2021-10-05;1536
2021-10-06;1532
2021-10-07;1532
2021-10-08;1562
2021-10-11;1577
2021-10-12;1564
2021-10-13;1580
2021-10-14;1605
2021-10-15;1618
2021-10-18;1605
2021-10-19;1615
2021-10-20;1628
2021-10-21;1638
2021-10-22;1666
2021-10-25;1680
2021-10-26;1634
2021-10-27;1593
2021-10-28;1613
2021-10-29;1614
2021-11-01;1703
2021-11-02;1693
2021-11-04;1708
2021-11-05;1706
2021-11-08;1838
2021-11-09;1866
2021-11-10;1863
2021-11-11;1889
2021-11-12;1891
2021-11-15;1926
2021-11-16;1903
2021-11-17;1938
2021-11-18;1968
2021-11-19;1947
2021-11-22;1949
2021-11-24;1932
2021-11-25;1939
2021-11-26;1919
2021-11-29;1870
2021-11-30;1845
2021-12-01;1838
2021-12-02;1854
2021-12-03;1839
2021-12-06;1845
2021-12-07;1896
2021-12-08;1922
2021-12-09;1912
2021-12-10;1902
2021-12-13;1889
2021-12-14;1894
2021-12-15;1882
2021-12-16;1884
2021-12-17;1832
2021-12-20;1815
2021-12-21;1828
2021-12-22;1843
2021-12-23;1844
2021-12-24;1818
2021-12-27;1816
2021-12-28;1861
2021-12-29;1829
2021-12-30;1807
2022-01-04;1862
2022-01-05;1883
2022-01-06;1853
2022-01-07;1838
2022-01-11;1824
2022-01-12;1871
2022-01-13;1812
2022-01-14;1803
2022-01-17;1816
2022-01-18;1818
2022-01-19;1854
2022-01-20;1889
2022-01-21;1927
2022-01-24;1927
2022-01-25;1900
2022-01-26;1910
2022-01-27;1836
2022-01-28;1859
2022-01-31;1916
2022-02-01;1940
2022-02-02;2020
2022-02-03;2026
2022-02-04;2068
2022-02-07;2071
2022-02-08;2063
2022-02-09;2083
2022-02-10;2069
2022-02-14;2103
2022-02-15;2137
2022-02-16;2154
2022-02-17;2129
2022-02-18;2162
2022-02-21;2145
2022-02-22;2124
2022-02-24;2096
2022-02-25;2090
2022-02-28;2089
2022-03-01;2132
2022-03-02;2054
2022-03-03;2039
2022-03-04;2003
2022-03-07;1950
2022-03-08;1925
2022-03-09;1963
2022-03-10;2052
2022-03-11;2050
2022-03-14;2140
2022-03-15;2125
2022-03-16;2148
2022-03-17;2180
2022-03-18;2150
2022-03-22;2175
2022-03-23;2250
2022-03-24;2221
2022-03-25;2200
2022-03-28;2191
2022-03-29;2162
2022-03-30;2175
2022-03-31;2113
2022-04-01;2172
2022-04-04;2175
2022-04-05;2200
2022-04-06;2208
2022-04-07;2204
2022-04-08;2196
2022-04-11;2213
2022-04-12;2219
2022-04-13;2247
2022-04-14;2288
2022-04-15;2292
2022-04-18;2288
2022-04-19;2282
2022-04-20;2283
2022-04-21;2213
2022-04-22;2191
2022-04-25;2195
2022-04-26;2220
2022-04-27;2247
2022-04-28;2310
2022-05-02;2340
2022-05-06;2338
2022-05-09;2299
2022-05-10;2220
2022-05-11;2207
2022-05-12;2244
2022-05-13;2258
2022-05-16;2336
2022-05-17;2365
2022-05-18;2352
2022-05-19;2374
2022-05-20;2395
2022-05-23;2424
2022-05-24;2412
2022-05-25;2401
2022-05-26;2366
2022-05-27;2376
2022-05-30;2393
2022-05-31;2396
2022-06-01;2353
2022-06-02;2291
2022-06-03;2294
2022-06-06;2299
2022-06-07;2319
2022-06-08;2350
2022-06-09;2393
2022-06-10;2379
2022-06-13;2305
2022-06-14;2232
2022-06-15;2161
2022-06-16;2135
2022-06-17;2072
2022-06-20;2061
2022-06-21;2086
2022-06-22;2091
2022-06-23;2103
2022-06-24;2146
2022-06-27;2125
2022-06-28;2199
2022-06-29;2196
2022-06-30;2178
2022-07-01;2152
2022-07-04;2181
2022-07-05;2199
2022-07-06;2189
2022-07-07;2192
2022-07-08;2224
2022-07-11;2256
2022-07-12;2211
2022-07-13;2182
2022-07-14;2209
2022-07-15;2166
2022-07-19;2161
2022-07-20;2228
2022-07-21;2239
2022-07-22;2288
2022-07-25;2282
2022-07-26;2297
2022-07-27;2284
2022-07-28;2259
2022-07-29;2279
2022-08-01;2283
2022-08-02;2221
2022-08-03;2246
2022-08-04;2050
2022-08-05;2012
2022-08-08;1990
2022-08-09;2022
2022-08-10;1963
2022-08-12;2009
2022-08-15;2004
2022-08-16;2055
2022-08-17;2093
2022-08-18;2108
2022-08-19;2111
2022-08-22;2136
2022-08-23;2081
2022-08-24;2054
2022-08-25;2081
2022-08-26;2071
2022-08-29;2042
2022-08-30;2087
2022-08-31;2073
2022-09-01;2038
2022-09-02;2018
2022-09-05;2021
2022-09-06;2000
2022-09-07;1981
2022-09-08;2024
2022-09-09;2046
2022-09-12;2036
2022-09-13;2035
2022-09-14;2009
2022-09-15;1958
2022-09-16;1960
2022-09-20;1973
2022-09-21;1944
2022-09-22;1931
2022-09-26;1920
2022-09-27;1979
2022-09-28;2008
2022-09-29;2020
